EventID,ActorName,TargetName,HostName,ActorID,TargetID,HostID,DyadID,Host_agency,Event_type,Year,Month,Day,Quarter,Eventsummary,Source,Host_agency,Twelve_rule,Announcementform,Crackdownform,Crackdown_dislodged,Crackdown_dislodged_justification,Crackdown_Leadershipdecapitation,Crackdown_Leadershipdecapitation_summary,Crackdown_intrusive,Crackdown_joint,Crackdown_intrusive_joint_summary,Dom_territoryname,Accession_eventclarity,Accession_dateclarity,Pledge_eventclarity,Pledge_dateclarity,Crackdown_eventclarity,Crackdown_dateclarity,Dom_eventclarity,Dom_dateclarity
1,ADF,Uganda,DR Congo (Zaire),489,500,490,689,,Accession,1995,6,,,"(1) ""[UMMF fighters,] including Jamil Mukulu fled to the DRC (then known as Zaire). With the consent and support of President Mobutu, the UMFF remnants re-formed at Bunia as the Allied Democratic Forces, and in June 1995 formed an alliance [as ADF] with the National Army for the Liberation of Uganda (NALU).""",Titeca and Fahey 2016: 1192,,,,,,,,,,,,,4,4,,,,,,
2,ADF,Uganda,DR Congo (Zaire),489,500,490,689,1,Pledge,1997,7,,,"(1) ""In an interview with the New Vision, Uganda's Ambassador to the DRC, Dr. Kamanda Bataringaya said that, three Memoranda of Understanding had been signed between the DRC and Uganda. These covered an agreement for joint operations between the UPDF and the FAC"" (2) ""the UPDF was already allowed in Congolese territory under the terms of DRC-Uganda security agreements. (...) A 'Memorandum of Understanding' signed between the DRC and Uganda shortly after Kabila's rise to power [inagurated in June 1997], providing for joint operations of the UPDF and the Forces Armées Congolaises""",Kasaija 2001: 77; Clark 2001: 273,1,,2,,,,,,,,,,,,4,4,,,,
3,ADF,Uganda,DR Congo (Zaire),489,500,490,689,1,Crackdown,1997,12,,,"(1) ""In December 1997, the Ugandan army deployed two battalions on Congolese territory in cooperation with Congolese forces""; (2) ""Following Mobutu’s defeat in 1997, the new regime of President Laurent Désiré Kabila allowed Ugandan troops into eastern DRC to fight the ADF; in some cases the Ugandan troops collaborated with Congolese forces in attacking the ADF”; (3) ""[Until] 2002, Rwanda effectively controlled the Kivus""",ICG 2012: 5; Titeca and Fahey 2016: 1198; Rafti 2007: 79,1,,,3,,"""the border were not secure from incursions coming from the DRC.” (Weiss 2000: 9)",0,,1,1,"""the Ugandan army deployed two battalions on Congolese territory in cooperation with Congolese forces""",,,,,,4,4,,
4,ADF,Uganda,DR Congo (Zaire),489,500,490,689,,Toleration,1998,7,27,,"(1) ""The plot against Kabila (...) had been hatching since at least May 1998, when Bugera was moved from the AFDL Secretariat to the Presidency. It became all the more urgent following the dismissal of Commander James as chief of staff of the FAC on 13 July and Kabila’s order of 27 July to send all foreign military personnel back home.""; (2) ""on 17 July 1998, Kabila who had benefitted from Ugandan support to accede to the presidency requested all foreign troops to leave the Congolese territory. This abruptly ended DRC-Uganda military cooperation.""",Nzongola-Ntalaja 1998: 16; (Duursma and Gamez 2021: 350),,,,,,,,,0,,,,4,4,,,,,,
5,ADF,Uganda,DR Congo (Zaire),489,500,490,689,0,Crackdown,1998,8,2,,"(1) ""the Ugandan army invaded the DRC in August 1998 and remained as an occupation force for nearly five years, but failed during this time to defeat the ADF”; (2) ""One of the greatest myths that the international media have helped to propagate is that Rwanda and Uganda had entered the country on the side of rebels in a civil war in the Congo. This is a myth because there was no fighting in the Congo prior to the invasion of the country by Rwandan and Ugandan troops on 2 August 1998""",Titeca and Fahey 2016: 1193; Nzongola-Ntalaja 1998: 15,0,,,3,,"""the ADF’s enmeshment in the borderland fabric enabled them to survive"" (Scorgie 2022: 235)",0,,1,0,"""the Ugandan army invaded the DRC in August 1998 and remained as an occupation force for nearly five years""",,,,,,4,4,,
6,ADF,Uganda,DR Congo (Zaire),489,500,490,689,0,Crackdown_dislodged,2001,4,6,,"(1) ""6 April 2001 – The Ugandan army captures the ADF-NALU headquarters in the DRC""; (2) ""It [the ADF] lost most of its operational capacity and could only take advantage of the remote terrain of the Rwenzori mountains to harass civilians."" ",ICG 2012: 17; Titeca and Vlassenroot 2012: 160,0,,,3,,"""It [the ADF] lost most of its operational capacity and could only take advantage of the remote terrain of the Rwenzori mountains to harass civilians."" (Titeca and Vlassenroot 2012: 160)",0,,1,0,"""the Ugandan army launched a major search operation in the Rwenzori mountains""",,,,,,4,4,,
7,ADF,Uganda,DR Congo (Zaire),489,500,490,689,,Toleration,2003,12,,1,"(1) ""[B]eing forced to halt campaigns in western Uganda by early 2003, the ADF’s enmeshment in the borderland fabric enabled them to survive. They had soon regrouped and rebuilt their strength in eastern Congo, and within several years had managed to increase their numbers to 1,500 combatants""; (2) ""On 6 September 2002 in Luanda, under the auspices of Angolan President dos Santos (who also wishes to move into peacemaking), an agreement was signed between the Congolese and Ugandan heads of state. Under its terms, Kampala committed itself to completing its troop withdrawal from Gbadolite, Beni and their vicinities without delay and from Bunia after an administrative authority had been established in Ituri. (...) [by December] most foreign forces had already withdrawn from the DRC.""",Scorgie 2022: 235; Rogier 2003: 35,,,,,,,,,,,,,3,3,,,,,,
8,ADF,Uganda,DR Congo (Zaire),489,500,490,689,1,Crackdown_dislodged,2005,12,24,,"(1) ""On 24 December 2005 a combined FARDC-UN force launched the largest operation ever conducted against the ADF until that point, Operation North Night Final, in the group’s North Kivu territory [in DR Congo]"". (2) ""In December 2005, the UN and the DRC armed forces (FARDC) launched operation North Night Final against ADF-NALU bases. The operation succeeded in destroying the group’s main camps and killed about 90 combatants, but its leaders escaped and disappeared into the Rwenzori Mountains following a tip-off"" (3) ""One of the major effects of this operation was the dispersion of ADF fighters and the loss of their supply lines""",Scorgie 2022: 287; ICG 2012: 6; Titeca and Vlassenroot 2012: 164,1,,,3,,"""One of the major effects of this operation was the dispersion of ADF fighters and the loss of their supply lines"" (Titeca and Vassel 2012: 164)",0,,0,0,,,,,,,5,5,,
9,ADF,Uganda,DR Congo (Zaire),489,500,490,689,,Toleration,2006,4,,,"(1) ""It was not long before the ADF were regrouping and recommencing military action (...) as early as April 2006""",Scorgie 2022: 288,,,,,,,,,,,,,3,3,,,,,,
10,ADF,Uganda,DR Congo (Zaire),489,500,490,689,1,Pledge,2007,9,8,,"(1) ""In September 2007, Uganda and the DRC signed the Arusha pact, in which the two countries agreed to undertake joint efforts to combat [ADF and LRA]. (…) This pact had little result.”; (2) The agreement states: ""The Government of the DRC shall formulate an action plan to neutralize the negative forces, particularly the LRA and ADF, which shall become effective by January 2008""",Titeca and Vassenroot 2012: 160-61; https://www.newvision.co.ug/news/1219761/arusha-pact-uganda-congo-security-oil,1,,2,,,,,,,,,,,,4,5,,,,
11,ADF,Uganda,DR Congo (Zaire),489,500,490,689,,Toleration,2008,9,8,,,,,1,,,,,,,,,,,,,,,,,,
12,ADF,Uganda,DR Congo (Zaire),489,500,490,689,1,Crackdown_dislodged,2010,6,25,,"(1) ""On 25 June, the FARDC launched Operation Rwenzori, which despite its presentation as a unilateral initiative, was in fact prepared collaboratively by the FARDC and MONUSCO. The operation enabled Congolese troops to take several ADF camps as well as cut several of its supply lines."" (2) ""[T]he 2010 Operation Rwenzori came as such a surprise to so many actors. (...) Launched in late June 2010, Operation Rwenzori was militarily undertaken solely by FARDC [the DRC forces]""",ICG 2012: 7; Scorgie 2022: 289,1,,,3,,"(1) ""[T]he offensive initially was somewhat successful, dislodging the rebels from many of their entrenched bases, including the Nadui camp."" (Scorgie 2022: 289) (2) ""[However,] They were able to quickly regain their eastern Congolese Rwenzori borderland space, and all the while maintain their western Ugandan networks and connections. If anything, they had to slightly shift their operating theatre to more remote territory."" (ibid.: 290)",0,,0,0,,,,,,,4,4,,
13,ADF,Uganda,DR Congo (Zaire),489,500,490,689,1,Crackdown,2011,NA,,1,"(1) ""Post-Operation Rwenzori the ADF re-established and expanded upon many of their previous camps (living in these until early 2014)""; (2) ""[After Operation Rwenzori, the ADF] were able to quickly regain their eastern Congolese Rwenzori borderland space, and all the while maintain their western Ugandan networks and connections. If anything, they had to slightly shift their operating theatre to more remote territory."" ",Scorgie 2022: 294; Scorgie 2022: 290,1,,,,,,0,,0,0,,,4,4,,,,,,
14,ADF,Uganda,DR Congo (Zaire),489,500,490,689,,Toleration,2013,3,20,,,,,1,,,,,,,,,,,,,,,,,,
15,ADF,Uganda,DR Congo (Zaire),489,500,490,689,1,Pledge,2013,11,28,,"(1) ""On 28 November 2013, shortly after the M23’s defeat, President Kabila ‘denounced harassments against the civilian population [by the ADF] and promised urgent measures before the end of the year’.""",Titeca and Fahey 2016: 1199,1,,1,,,,,,,,,,,,4,4,,,,
16,ADF,Uganda,DR Congo (Zaire),489,500,490,689,1,Crackdown_dislodged,2014,1,,,"(1) ""In January 2014, the FARDC launched operation Sukola I against the ADF; this too, like past such operations, weakened but failed to defeat the ADF""; (2) ""MONUSCO and FARDC launched joint operations against the ADF in early 2014. The operations followed clear-cut counterinsurgency principles that treated non-state armed actors as the root of conflict. Yet, the ADF had survived decades in the borderlands of northern North Kivu by laying ties with local civilians and political authorities.”; (3) ""Officially, the two men agreed “to work together” against “the negative forces which hold sway in the east of the DRC.” “However, we are aware of no indications that, on the ground, Uganda is assisting the FARDC in this operation,” claimed a MONUSCO official."" ",Titeca and Fahey 2016: 1199; Sweet 2021: 307; Stearns 2019,1,,,3,,"""for a period of time [after Sukola I] they [the ADF] remained more scattered and decentralized than previously (…) [and only] by 2019 the group were securely under one centralized command-and-control"" (Scorgie 2022: 312)",1,"""Mukulu was captured in Tanzania and sent to Uganda for trial"" (Scorgie 2022: 311)",0,0,,,,,,,,,,
17,ADF,Uganda,DR Congo (Zaire),489,500,490,689,,Toleration,2020,10,30,,"(1) ""[By the end of] 2019 the group were securely under one centralized command-and-control (…) [Yet] FARDC’s operations have had the effect of splintering the rebels into smaller groups over wider territory.""",Scorge 2022: 312,,1,,,,,,,,,,,,,,,,,,
18,ADF,Uganda,DR Congo (Zaire),489,500,490,689,1,Crackdown,2021,11,26,,"(1) ""November [2021], following deadly bombings in Uganda’s capital Kampala, Tshisekedi had allowed Ugandan units to cross into North Kivu in pursuit of the Allied Democratic Forces (ADF)""; (2)  ""After months of insistence, Museveni managed to get Tshisekedi to give the green light for a joint intervention against the Allied Democratic Forces (ADF), which are active in North Kivu and Ituri.""; (3) ""On 26 November, Tshisekedi gave his Ugandan counterpart, Yoweri Museveni, permission to send his troops to Ituri and North Kivu. Several diplomatic sources have verified this information. (...) According to one of our sources, however, Tshisekedi has only given a verbal agreement and his Ugandan counterpart is now waiting for written confirmation.""",Al-Jazeera 2022; The Africa Report 2022-04; The Africa Report 2021-12; ,1,,,3,,,0,,1,1,"""Tshisekedi had allowed Ugandan units to cross into North Kivu in pursuit of the Allied Democratic Forces (ADF)""",,,,,,4,4,,
19,ADF,Uganda,DR Congo (Zaire),489,500,490,689,2,Crackdown_dislodged,2022,7,2,,"(1) ""Operation Shujaa (...) On 2nd July 2022, both Artillery and Combat helicopters bombarded ADF stronghold in sector three on the confluence of River Djelube, Lusolube and Semliki while infantry soldiers advanced to the objective and others on blocking effect (...) joint infantry forces were combing the area [with] fleeing ADF terrorist""",Thawite 2022,2,,,3,,"(1) Operation Shujaa (...) On 2nd July 2022, both Artillery and Combat helicopters bombarded ADF stronghold (…) joint infantry forces were combing the area [with] fleeing ADF terrorist"" (Thawite 2022)",0,,1,1,"(1) ""Tshisekedi had allowed Ugandan units to cross into North Kivu in pursuit of the Allied Democratic Forces (ADF)""; (2) ""joint infantry forces were combing the area [with] fleeing ADF terrorist""",,,,,,4,4,,
